name,metric,val_rmse_dollars,persistence_baseline_rmse_dollars,directional_accuracy,majority_direction_baseline,val_accuracy,majority_baseline_accuracy,val_mse,val_mae
reg_baseline_e15,mse,0.2547380182392462,0.11644267910296965,0.53,0.6066666666666667,,,0.15687686204910278,0.2950906753540039
reg_long_e40,mse,0.24755347073000883,0.11644267910296965,0.4766666666666667,0.6066666666666667,,,0.16305793821811676,0.33499205112457275
reg_long_h64,mse,0.2543820228347365,0.11644267910296965,0.4633333333333333,0.6066666666666667,,,0.17288975417613983,0.3495609760284424
reg_long_T80,mse,0.24251833851745466,0.11644267910296965,0.49,0.6066666666666667,,,0.15061435103416443,0.3062410354614258
reg_long_delta,mse,0.11621141642312977,0.11644267746904909,0.6066666666666667,0.6066666666666667,,,0.04222998768091202,0.12976433336734772
reg_long_delta_h64_T80,mse,0.11708169788986159,0.11644267746904909,0.6066666666666667,0.6066666666666667,,,0.04225962236523628,0.12997545301914215
reg_long_delta_temporal,mse,0.11603322888062341,0.11644267746904909,0.6066666666666667,0.6066666666666667,,,0.042332299053668976,0.1302984058856964
cls_baseline_e15,accuracy,,,,,0.54,0.6066666666666667,,
cls_long_e30,accuracy,,,,,0.49666666666666665,0.6066666666666667,,
cls_long_h64_lr002,accuracy,,,,,0.55,0.6066666666666667,,
